source,trace_id,station,event_id,rate_hz,p_s,s_s,distance_km,p_status,s_status,flagged_multiplet,reasons,c1_residual_s,c2_residual_s,c2s_residual_s,c6_triggers_json,c6_n_extra_triggers,c6_class,suggested_tier,suggested_extra_arrival_s,window_start_time
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020virtv,HT.CHOS,noa2020virtv,100.0,29.99869,36.894916,49.10528275701905,unknown,unknown,False,unlabelled_arrival;c2_p;c2_s,0.2187894267059507,-0.6886900000000011,2.575083999999997,"[23.23, 39.62, 110.77]",2,wrong_first_pick,unknown,"[23.23, 110.77]",2020-10-30T12:44:43.970000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020vishe,HT.CHOS,noa2020vishe,100.0,30.003284,39.555685,88.69848231097065,unknown,unknown,False,unlabelled_arrival;c2_s,-1.4540401405155432,2.6067159999999987,1.0243150000000014,"[17.63, 19.67, 40.75, 110.6]",3,wrong_first_pick,manual,"[17.63, 19.67, 110.6]",2020-10-30T13:00:30.250000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020vishe,KO.DKL,noa2020vishe,50.0,29.990515,46.670453,137.77266788342018,unknown,unknown,False,unlabelled_arrival,0.30786902770681834,0.12948500000000251,0.42954699999999946,"[9.98, 27.9, 48.2]",2,wrong_first_pick,manual,"[9.98, 27.9]",2020-10-30T13:00:36.480000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020vishe,HL.PRK,noa2020vishe,100.0,30.00366,,163.1168631940439,unknown,unknown,False,unlabelled_arrival;c2_p,,1.6863400000000013,,"[30.63, 52.14]",1,second_event,unknown,[52.14],2020-10-30T13:00:39.470000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viszt,HT.CHOS,noa2020viszt,100.0,30.000176,39.594353,77.7625635347016,unknown,unknown,False,unlabelled_arrival;c2_p,-0.21656278617760982,1.0798239999999986,0.045647000000002436,"[16.35, 30.82, 39.92, 85.61, 99.62]",3,second_event,unknown,"[16.35, 85.61, 99.62]",2020-10-30T13:22:04.180000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020viszt,KO.DKL,noa2020viszt,50.0,29.990963,49.207347,156.3455059869103,unknown,unknown,False,unlabelled_arrival;c2_p;c2_s,0.8136152640589067,0.7690370000000009,0.7326529999999991,"[17.72, 32.66, 50.34, 88.02, 102.64]",4,wrong_first_pick,unknown,"[17.72, 32.66, 88.02, 102.64]",2020-10-30T13:22:15.780000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viszt,HL.PRK,noa2020viszt,100.0,30.000078,,168.56548047584587,unknown,unknown,False,unlabelled_arrival;c2_p,,0.6699220000000032,,"[26.32, 32.21, 40.44, 51.73, 106.71]",5,wrong_first_pick,unknown,"[26.32, 32.21, 40.44, 51.73, 106.71]",2020-10-30T13:22:17.830000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020vitxq,HT.CHOS,noa2020vitxq,100.0,30.001753,37.239597,46.4146602114963,unknown,unknown,False,unlabelled_arrival;c2_s,0.85459222155602,0.028247000000000355,0.7404029999999935,"[17.31, 38.07, 42.34]",2,wrong_first_pick,manual,"[17.31, 42.34]",2020-10-30T13:49:46.960000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020vitxq,HL.PRK,noa2020vitxq,100.0,29.999202,,141.287333116144,unknown,unknown,False,unlabelled_arrival,,-1.169202000000002,,"[24.97, 49.33]",2,wrong_first_pick,manual,"[24.97, 49.33]",2020-10-30T13:50:00.390000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viuda,HT.CHOS,noa2020viuda,100.0,30.002974,40.246979,84.62692954803488,unknown,unknown,False,unlabelled_arrival;c2_s,-0.3172644770733193,1.1370260000000023,2.8830209999999994,"[9.99, 31.61, 43.28]",3,wrong_first_pick,manual,"[9.99, 31.61, 43.28]",2020-10-30T13:55:43.860000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viuda,HL.PRK,noa2020viuda,100.0,30.002281,,154.22315493277267,unknown,unknown,False,unlabelled_arrival,,0.9177190000000017,,"[20.65, 34.23, 48.9]",3,wrong_first_pick,manual,"[20.65, 34.23, 48.9]",2020-10-30T13:55:54.360000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viuto,HT.CHOS,noa2020viuto,100.0,29.995876,38.874743,62.673952775504404,unknown,unknown,False,unlabelled_arrival;c2_p;c2_s,0.7178717564574413,1.034124000000002,1.705256999999996,"[18.23, 37.48, 40.29, 100.29, 118.84]",4,wrong_first_pick,unknown,"[18.23, 37.48, 100.29, 118.84]",2020-10-30T14:15:17.610000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020viuto,KO.DKL,noa2020viuto,50.0,29.994331,,120.92981833183133,unknown,unknown,False,unlabelled_arrival,,1.4256690000000027,,"[27.82, 34.08, 51.98]",3,wrong_first_pick,manual,"[27.82, 34.08, 51.98]",2020-10-30T14:15:25.060000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viuto,HL.PRK,noa2020viuto,100.0,30.004433,,139.9272630628946,unknown,unknown,False,unlabelled_arrival;c2_p,,1.7255670000000016,,"[32.25, 53.04]",2,wrong_first_pick,unknown,"[32.25, 53.04]",2020-10-30T14:15:28.220000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020vivcl,HT.CHOS,noa2020vivcl,100.0,29.998048,37.523434,61.66286265301411,unknown,unknown,False,unlabelled_arrival,-0.5250596085687906,-2.6380480000000013,1.1065660000000008,"[20.88, 38.99]",1,wrong_first_pick,manual,[20.88],2020-10-30T14:25:05.650000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020vivcl,HL.PRK,noa2020vivcl,100.0,30.002975,,147.66743338622564,unknown,unknown,False,unlabelled_arrival,,1.447025,,"[10.78, 31.43, 53.33]",3,wrong_first_pick,manual,"[10.78, 31.43, 53.33]",2020-10-30T14:25:15.700000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020vivrg,HT.CHOS,noa2020vivrg,100.0,30.003608,39.085536,75.90382632178239,unknown,unknown,False,unlabelled_arrival,-0.5255828990292688,0.026392000000001303,0.39446399999999926,"[31.77, 40.11, 94.06, 103.92, 105.67]",4,wrong_first_pick,manual,"[31.77, 94.06, 103.92, 105.67]",2020-10-30T14:43:17.740000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020vivrg,HL.PRK,noa2020vivrg,100.0,29.995213,,163.16568053163678,unknown,unknown,False,unlabelled_arrival,,0.1947870000000016,,"[52.29, 109.23, 111.68]",3,wrong_first_pick,manual,"[52.29, 109.23, 111.68]",2020-10-30T14:43:31.600000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020vivtp,HT.CHOS,noa2020vivtp,100.0,29.99679,40.999155,86.79544944761955,unknown,unknown,False,unlabelled_arrival;c2_s,0.20399590341699714,0.08320999999999756,0.6408449999999988,"[18.71, 34.0, 41.69]",2,wrong_first_pick,manual,"[18.71, 34.0]",2020-10-30T14:45:51.530000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020vivtp,KO.DKL,noa2020vivtp,50.0,29.993764,46.135392,127.5791615828472,unknown,unknown,False,c2_s,0.8840871746693022,0.026236000000000814,2.2646079999999955,"[30.06, 48.88]",0,single_detection,manual,[],2020-10-30T14:45:58.880000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020vivtp,HL.PRK,noa2020vivtp,100.0,29.996307,48.671374,155.44706551884653,unknown,unknown,False,c2_s,0.3705311154940354,0.21369299999999924,2.7286259999999984,"[30.25, 49.25, 51.47]",0,single_detection,manual,[],2020-10-30T14:46:02.750000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viwas,HT.CHOS,noa2020viwas,100.0,29.996452,42.241292,81.75533389801042,unknown,unknown,False,unlabelled_arrival;c2_p,1.9975423873937022,0.5035479999999986,-0.22129199999999827,"[31.43, 42.22, 92.29, 98.62]",3,wrong_first_pick,unknown,"[31.43, 92.29, 98.62]",2020-10-30T14:53:55.870000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viwas,HL.PRK,noa2020viwas,100.0,29.999153,49.356566,163.48706912293676,unknown,unknown,False,unlabelled_arrival;c2_s,0.17380665100286663,-0.449152999999999,1.4134340000000023,"[29.68, 33.31, 50.93]",1,second_event,manual,[33.31],2020-10-30T14:54:08.850000+00:00
